date,loc,total_cases,total_deaths,people_vaccinated,total_vaccinations
2020-01,CHN,9720.0,213.0,,0.0
2020-02,CHN,69669.0,2625.0,,0.0
2020-03,CHN,3156.0,476.0,,0.0
2020-04,CHN,1828.0,1329.0,,0.0
2020-05,CHN,197.0,2.0,,0.0
2020-06,CHN,657.0,3.0,,0.0
2020-07,CHN,2729.0,18.0,,0.0
2020-08,CHN,2427.0,63.0,,0.0
2020-09,CHN,658.0,17.0,,0.0
2020-10,CHN,852.0,0.0,,0.0
2020-11,CHN,1572.0,4.0,,0.0
2020-12,CHN,3208.0,38.0,,0.0
2021-01,CHN,4301.0,35.0,,0.0
2021-02,CHN,946.0,20.0,,0.0
2021-03,CHN,842.0,8.0,,39358000.0
2021-04,CHN,860.0,6.0,,145243000.0
2021-05,CHN,7901.0,113.0,,396404000.0
2021-06,CHN,7049.0,525.0,,583207000.0
2021-07,CHN,2150.0,140.0,,408144000.0
2021-08,CHN,2346.0,48.0,,414770000.0
2021-09,CHN,1605.0,8.0,,143863000.0
2021-10,CHN,1405.0,5.0,,62620000.0
2021-11,CHN,1860.0,1.0,,233903000.0
2021-12,CHN,4133.0,2.0,,327357000.0
2022-01,CHN,7134.0,1.0,,165200000.0
2022-02,CHN,196671.0,533.0,,129313000.0
2022-03,CHN,573847.0,7083.0,,141029000.0
2022-04,CHN,181357.0,1917.0,,73654000.0
2022-05,CHN,1928263.0,1626.0,,36786000.0
2022-06,CHN,1750024.0,4419.0,,21308000.0
2022-07,CHN,846753.0,2384.0,,21047000.0
2022-08,CHN,785354.0,1174.0,,9109000.0
2022-09,CHN,1217002.0,1610.0,,4133000.0
2022-10,CHN,1328999.0,2014.0,,2891000.0
2022-11,CHN,719199.0,1928.0,,3947000.0
2022-12,CHN,75258368.0,22156.0,,34345000.0
2023-01,CHN,13547347.0,61382.0,,9964000.0
2023-02,CHN,557739.0,6015.0,,0.0
2023-03,CHN,208850.0,955.0,,0.0
2023-04,CHN,8403.0,65.0,,0.0
2023-05,CHN,22130.0,337.0,,0.0
2023-06,CHN,19645.0,229.0,,0.0
2023-07,CHN,11214.0,71.0,,0.0
2023-08,CHN,6243.0,143.0,,0.0
2023-09,CHN,6287.0,35.0,,0.0
2023-10,CHN,5067.0,50.0,,0.0
2023-11,CHN,0.0,0.0,,0.0
