date,loc,total_cases,total_deaths,people_vaccinated,total_vaccinations
2020-01,EEU,5.0,6.0,,0.0
2020-02,EEU,93.0,4.0,,0.0
2020-03,EEU,111513.0,3056.0,,0.0
2020-04,EEU,178609.0,10125.0,,0.0
2020-05,EEU,94812.0,3138.0,,0.0
2020-06,EEU,87095.0,1621.0,,0.0
2020-07,EEU,121199.0,2570.0,,0.0
2020-08,EEU,218300.0,3964.0,,0.0
2020-09,EEU,332234.0,4580.0,,0.0
2020-10,EEU,1112258.0,12499.0,,0.0
2020-11,EEU,2530535.0,47280.0,,0.0
2020-12,EEU,2339940.0,61849.0,,231598.0
2021-01,EEU,1796565.0,55076.0,,4991804.0
2021-02,EEU,1234278.0,28391.0,,8204034.0
2021-03,EEU,2088025.0,39861.0,,16794338.0
2021-04,EEU,1899057.0,46915.0,,29256528.0
2021-05,EEU,997527.0,26337.0,,39282149.0
2021-06,EEU,196744.0,8387.0,,41723497.0
2021-07,EEU,259134.0,2628.0,,30466361.0
2021-08,EEU,737597.0,5582.0,,20266375.0
2021-09,EEU,1220453.0,14467.0,,15083720.0
2021-10,EEU,2542040.0,40809.0,,15558238.0
2021-11,EEU,3876906.0,60242.0,,29313123.0
2021-12,EEU,3611448.0,44084.0,,42548474.0
2022-01,EEU,10021918.0,29020.0,,26695447.0
2022-02,EEU,12067504.0,35204.0,,9302917.0
2022-03,EEU,9226209.0,23384.0,,4940967.0
2022-04,EEU,5061836.0,12591.0,,2981546.0
2022-05,EEU,2416983.0,5908.0,,1920285.0
2022-06,EEU,2074433.0,3256.0,,1278666.0
2022-07,EEU,4680264.0,8832.0,,1627405.0
2022-08,EEU,2353099.0,8218.0,,1412160.0
2022-09,EEU,1770962.0,5435.0,,1737023.0
2022-10,EEU,3559666.0,11770.0,,3870222.0
2022-11,EEU,1294636.0,6256.0,,3265000.0
2022-12,EEU,1295385.0,7952.0,,1297426.0
2023-01,EEU,812957.0,6908.0,,548936.0
2023-02,EEU,572880.0,3913.0,,191457.0
2023-03,EEU,459643.0,4638.0,,115989.0
2023-04,EEU,277321.0,3955.0,,66927.0
2023-05,EEU,111905.0,1824.0,,61192.0
2023-06,EEU,41254.0,744.0,,13913.0
2023-07,EEU,22056.0,338.0,,1710.0
2023-08,EEU,43233.0,314.0,,1516.0
2023-09,EEU,113323.0,543.0,,6747.0
2023-10,EEU,127574.0,562.0,,131093.0
2023-11,EEU,0.0,0.0,,15668.0
