date,loc,total_cases,total_deaths,people_vaccinated,total_vaccinations
2020-01,NAM,3.0,0.0,,0.0
2020-02,NAM,18.0,0.0,,0.0
2020-03,NAM,12353.0,205.0,,0.0
2020-04,NAM,86148.0,7454.0,,0.0
2020-05,NAM,161506.0,20475.0,,0.0
2020-06,NAM,235059.0,23560.0,,0.0
2020-07,NAM,381680.0,27878.0,,0.0
2020-08,NAM,340623.0,23005.0,,0.0
2020-09,NAM,310312.0,16229.0,,0.0
2020-10,NAM,388576.0,15835.0,,0.0
2020-11,NAM,482988.0,19944.0,,0.0
2020-12,NAM,722929.0,29490.0,,114339.0
2021-01,NAM,892205.0,47001.0,,1514718.0
2021-02,NAM,441478.0,30065.0,,2841629.0
2021-03,NAM,395381.0,16796.0,,10065610.0
2021-04,NAM,520322.0,11847.0,,17589314.0
2021-05,NAM,479349.0,9656.0,,22665903.0
2021-06,NAM,375421.0,7644.0,,37492312.0
2021-07,NAM,809473.0,13314.0,,39579151.0
2021-08,NAM,1202329.0,30447.0,,30685642.0
2021-09,NAM,936908.0,26061.0,,27118587.0
2021-10,NAM,486862.0,15300.0,,28082182.0
2021-11,NAM,272595.0,7680.0,,9090554.0
2021-12,NAM,635384.0,5970.0,,21130734.0
2022-01,NAM,3328577.0,15063.0,,26676919.0
2022-02,NAM,1052660.0,16676.0,,15601749.0
2022-03,NAM,452485.0,4678.0,,7606370.0
2022-04,NAM,475576.0,2710.0,,3358150.0
2022-05,NAM,523297.0,3368.0,,2700513.0
2022-06,NAM,744410.0,1818.0,,2305886.0
2022-07,NAM,1385190.0,4421.0,,2049902.0
2022-08,NAM,582834.0,3947.0,,2572932.0
2022-09,NAM,241916.0,2257.0,,1955962.0
2022-10,NAM,194087.0,2047.0,,2776762.0
2022-11,NAM,177969.0,1856.0,,2473058.0
2022-12,NAM,365492.0,2638.0,,1046425.0
2023-01,NAM,279333.0,2825.0,,1067476.0
2023-02,NAM,172540.0,1757.0,,232843.0
2023-03,NAM,165725.0,1330.0,,113186.0
2023-04,NAM,104551.0,1158.0,,149561.0
2023-05,NAM,83654.0,783.0,,411025.0
2023-06,NAM,44733.0,489.0,,400298.0
2023-07,NAM,41752.0,380.0,,49641.0
2023-08,NAM,38057.0,241.0,,88333.0
2023-09,NAM,35804.0,243.0,,10452.0
2023-10,NAM,1386.0,61.0,,0.0
2023-11,NAM,0.0,0.0,,0.0
