date,loc,total_cases,total_deaths,people_vaccinated,total_vaccinations
2020-01,SAF,0.0,0.0,,0.0
2020-02,SAF,0.0,0.0,,0.0
2020-03,SAF,1326.0,2.0,,0.0
2020-04,SAF,4024.0,101.0,,0.0
2020-05,SAF,25617.0,540.0,,0.0
2020-06,SAF,113297.0,4308.0,,0.0
2020-07,SAF,337905.0,5347.0,,0.0
2020-08,SAF,142887.0,6216.0,,0.0
2020-09,SAF,47516.0,2639.0,,0.0
2020-10,SAF,51110.0,1263.0,,0.0
2020-11,SAF,64020.0,1061.0,,0.0
2020-12,SAF,251459.0,6556.0,,0.0
2021-01,SAF,410075.0,15918.0,,0.0
2021-02,SAF,62989.0,5990.0,,68267.0
2021-03,SAF,34510.0,2847.0,,171540.0
2021-04,SAF,32801.0,1543.0,,43531.0
2021-05,SAF,83289.0,2108.0,,648794.0
2021-06,SAF,291641.0,3825.0,,1572908.0
2021-07,SAF,480570.0,11415.0,,1742677.0
2021-08,SAF,335539.0,10151.0,,1946671.0
2021-09,SAF,130419.0,5695.0,,2697226.0
2021-10,SAF,20892.0,1638.0,,243664.0
2021-11,SAF,41793.0,659.0,,1994351.0
2021-12,SAF,482853.0,1239.0,,1453538.0
2022-01,SAF,157324.0,3961.0,,1461833.0
2022-02,SAF,69401.0,4207.0,,335513.0
2022-03,SAF,43810.0,791.0,,1464358.0
2022-04,SAF,68331.0,340.0,,1109778.0
2022-05,SAF,169573.0,802.0,,1198316.0
2022-06,SAF,38872.0,631.0,,760410.0
2022-07,SAF,11281.0,189.0,,331148.0
2022-08,SAF,6533.0,102.0,,235218.0
2022-09,SAF,7111.0,101.0,,177219.0
2022-10,SAF,9392.0,126.0,,118813.0
2022-11,SAF,12820.0,117.0,,163632.0
2022-12,SAF,7600.0,140.0,,75426.0
2023-01,SAF,7076.0,27.0,,0.0
2023-02,SAF,5922.0,0.0,,0.0
2023-03,SAF,10955.0,0.0,,0.0
2023-04,SAF,0.0,0.0,,0.0
2023-05,SAF,0.0,0.0,,0.0
2023-06,SAF,0.0,0.0,,0.0
2023-07,SAF,0.0,0.0,,0.0
2023-08,SAF,0.0,0.0,,0.0
2023-09,SAF,0.0,0.0,,0.0
2023-10,SAF,0.0,0.0,,0.0
2023-11,SAF,0.0,0.0,,0.0
