date,loc,total_cases,total_deaths,people_vaccinated,total_vaccinations
2020-01,SAM,0.0,0.0,,0.0
2020-02,SAM,2.0,0.0,,0.0
2020-03,SAM,12483.0,412.0,,0.0
2020-04,SAM,145246.0,10666.0,,0.0
2020-05,SAM,655117.0,43145.0,,0.0
2020-06,SAM,1362062.0,58466.0,,0.0
2020-07,SAM,1824829.0,69641.0,,0.0
2020-08,SAM,2269540.0,71758.0,,0.0
2020-09,SAM,1781945.0,57617.0,,0.0
2020-10,SAM,1611547.0,41456.0,,0.0
2020-11,SAM,1466671.0,30355.0,,0.0
2020-12,SAM,1982898.0,36543.0,,31136.0
2021-01,SAM,2731881.0,60582.0,,2481239.0
2021-02,SAM,2106340.0,63538.0,,11109265.0
2021-03,SAM,3098071.0,96315.0,,28685034.0
2021-04,SAM,3768703.0,140149.0,,38788046.0
2021-05,SAM,3985418.0,124340.0,,38318692.0
2021-06,SAM,4035778.0,104453.0,,59702213.0
2021-07,SAM,2687502.0,83924.0,,77447712.0
2021-08,SAM,1434886.0,39375.0,,88737959.0
2021-09,SAM,877837.0,22291.0,,70893917.0
2021-10,SAM,637573.0,15823.0,,68026921.0
2021-11,SAM,572900.0,11125.0,,60298967.0
2021-12,SAM,836771.0,10577.0,,48296001.0
2022-01,SAM,8474388.0,25972.0,,58557931.0
2022-02,SAM,5851240.0,40175.0,,50759299.0
2022-03,SAM,1844233.0,28866.0,,33814869.0
2022-04,SAM,727674.0,6454.0,,22403896.0
2022-05,SAM,911269.0,4642.0,,21018560.0
2022-06,SAM,1850382.0,5897.0,,18418961.0
2022-07,SAM,2668165.0,11026.0,,12316131.0
2022-08,SAM,1358225.0,9216.0,,8495710.0
2022-09,SAM,480702.0,4558.0,,4822471.0
2022-10,SAM,345411.0,3372.0,,1135195.0
2022-11,SAM,628847.0,2759.0,,3242297.0
2022-12,SAM,1753781.0,6289.0,,6704864.0
2023-01,SAM,835257.0,5235.0,,3514735.0
2023-02,SAM,303239.0,3447.0,,2145208.0
2023-03,SAM,347186.0,2108.0,,1651907.0
2023-04,SAM,231850.0,2011.0,,893811.0
2023-05,SAM,147816.0,2020.0,,580221.0
2023-06,SAM,94671.0,1534.0,,368484.0
2023-07,SAM,77752.0,1546.0,,283383.0
2023-08,SAM,15535.0,224.0,,320693.0
2023-09,SAM,11290.0,56.0,,690554.0
2023-10,SAM,2513.0,19.0,,575314.0
2023-11,SAM,0.0,0.0,,15319.0
