date,loc,total_cases,total_deaths,people_vaccinated,total_vaccinations
2020-01,USA,8.0,0.0,,0.0
2020-02,USA,61.0,1.0,,0.0
2020-03,USA,173074.0,3326.0,,0.0
2020-04,USA,857163.0,57134.0,,0.0
2020-05,USA,755116.0,44864.0,,0.0
2020-06,USA,821191.0,22925.0,,0.0
2020-07,USA,1884228.0,28717.0,,0.0
2020-08,USA,1524538.0,31831.0,,0.0
2020-09,USA,1201705.0,21361.0,,0.0
2020-10,USA,1815557.0,23448.0,,0.0
2020-11,USA,4374916.0,41105.0,,0.0
2020-12,USA,6170028.0,77292.0,,5670692.0
2021-01,USA,6285448.0,100119.0,,32349984.0
2021-02,USA,2467058.0,67730.0,,50166393.0
2021-03,USA,1776581.0,33397.0,,84262036.0
2021-04,USA,1832202.0,20768.0,,90714882.0
2021-05,USA,981676.0,17442.0,,50788105.0
2021-06,USA,385721.0,9459.0,,25519531.0
2021-07,USA,1373312.0,9045.0,,16520889.0
2021-08,USA,4114589.0,31496.0,,24391381.0
2021-09,USA,4185050.0,54691.0,,22774640.0
2021-10,USA,2660463.0,48578.0,,29478481.0
2021-11,USA,2444998.0,31309.0,,42478874.0
2021-12,USA,5449603.0,43017.0,,46636184.0
2022-01,USA,20444764.0,65001.0,,28711813.0
2022-02,USA,4380740.0,63682.0,,11221736.0
2022-03,USA,1022157.0,30074.0,,6580941.0
2022-04,USA,1163440.0,13263.0,,13657138.0
2022-05,USA,2698000.0,9953.0,,10579789.0
2022-06,USA,3066561.0,9885.0,,7660750.0
2022-07,USA,3922935.0,13117.0,,7777579.0
2022-08,USA,2879420.0,13716.0,,5301050.0
2022-09,USA,1858371.0,12795.0,,13633621.0
2022-10,USA,1204618.0,11815.0,,19462383.0
2022-11,USA,1125356.0,9574.0,,12504962.0
2022-12,USA,2111048.0,12963.0,,8062787.0
2023-01,USA,1522698.0,14578.0,,4160978.0
2023-02,USA,1085170.0,12111.0,,1925542.0
2023-03,USA,678002.0,7909.0,,1635826.0
2023-04,USA,568838.0,7009.0,,1432975.0
2023-05,USA,170425.0,3089.0,,621220.0
2023-06,USA,0.0,0.0,,0.0
2023-07,USA,0.0,0.0,,0.0
2023-08,USA,0.0,0.0,,0.0
2023-09,USA,0.0,0.0,,0.0
2023-10,USA,0.0,0.0,,0.0
2023-11,USA,0.0,0.0,,0.0
