date,loc,total_cases,total_deaths,people_vaccinated,total_vaccinations
2020-01,AFR,0.0,0.0,,0.0
2020-02,AFR,3.0,0.0,,0.0
2020-03,AFR,4332.0,320.0,,0.0
2020-04,AFR,27954.0,1549.0,,0.0
2020-05,AFR,81322.0,1905.0,,0.0
2020-06,AFR,142968.0,3819.0,,0.0
2020-07,AFR,178604.0,4215.0,,0.0
2020-08,AFR,192664.0,3826.0,,0.0
2020-09,AFR,182363.0,3722.0,,0.0
2020-10,AFR,251853.0,4539.0,,0.0
2020-11,AFR,330157.0,6888.0,,0.0
2020-12,AFR,316471.0,6241.0,,0.0
2021-01,AFR,419792.0,9661.0,,53652.0
2021-02,AFR,282912.0,7072.0,,3013702.0
2021-03,AFR,292830.0,6399.0,,4000355.0
2021-04,AFR,314778.0,7440.0,,2749188.0
2021-05,AFR,204206.0,6747.0,,6254215.0
2021-06,AFR,352250.0,8260.0,,5462046.0
2021-07,AFR,740044.0,15943.0,,7173262.0
2021-08,AFR,787218.0,16383.0,,12393939.0
2021-09,AFR,394266.0,9120.0,,8467412.0
2021-10,AFR,183882.0,5475.0,,4506361.0
2021-11,AFR,145008.0,4286.0,,8726483.0
2021-12,AFR,578826.0,4012.0,,7222260.0
2022-01,AFR,1084505.0,6648.0,,3765110.0
2022-02,AFR,537170.0,5724.0,,15846458.0
2022-03,AFR,189868.0,2595.0,,3814865.0
2022-04,AFR,91855.0,687.0,,1040227.0
2022-05,AFR,67153.0,352.0,,1732223.0
2022-06,AFR,148818.0,433.0,,762145.0
2022-07,AFR,211149.0,819.0,,241735.0
2022-08,AFR,82173.0,415.0,,89000.0
2022-09,AFR,39945.0,173.0,,29406.0
2022-10,AFR,23712.0,76.0,,4254.0
2022-11,AFR,36635.0,95.0,,1417.0
2022-12,AFR,34958.0,106.0,,686.0
2023-01,AFR,29548.0,135.0,,638.0
2023-02,AFR,11615.0,80.0,,1204.0
2023-03,AFR,7864.0,86.0,,0.0
2023-04,AFR,9099.0,68.0,,0.0
2023-05,AFR,11414.0,60.0,,0.0
2023-06,AFR,8679.0,31.0,,0.0
2023-07,AFR,3997.0,16.0,,0.0
2023-08,AFR,3363.0,12.0,,0.0
2023-09,AFR,4229.0,7.0,,0.0
2023-10,AFR,984.0,2.0,,0.0
2023-11,AFR,0.0,0.0,,0.0
