date,loc,total_cases,total_deaths,people_vaccinated,total_vaccinations
2020-01,ASIA,80.0,0.0,,0.0
2020-02,ASIA,690.0,35.0,,0.0
2020-03,ASIA,74726.0,3330.0,,0.0
2020-04,ASIA,319476.0,9566.0,,0.0
2020-05,ASIA,597936.0,11503.0,,0.0
2020-06,ASIA,1146511.0,25447.0,,0.0
2020-07,ASIA,1905637.0,38163.0,,0.0
2020-08,ASIA,2953604.0,45805.0,,0.0
2020-09,ASIA,3692495.0,51480.0,,0.0
2020-10,ASIA,3253674.0,48631.0,,0.0
2020-11,ASIA,3121811.0,48516.0,,0.0
2020-12,ASIA,3048084.0,44377.0,,1016774.0
2021-01,ASIA,2243477.0,32914.0,,12815927.0
2021-02,ASIA,1843470.0,22692.0,,27210052.0
2021-03,ASIA,3321395.0,29484.0,,76967674.0
2021-04,ASIA,10552225.0,88112.0,,111665083.0
2021-05,ASIA,11872353.0,164196.0,,92918245.0
2021-06,ASIA,4542941.0,104859.0,,195062303.0
2021-07,ASIA,5988598.0,104288.0,,240469515.0
2021-08,ASIA,7471467.0,137808.0,,304099698.0
2021-09,ASIA,5562868.0,86850.0,,417342311.0
2021-10,ASIA,3623556.0,48089.0,,331173411.0
2021-11,ASIA,2706987.0,41919.0,,323367389.0
2021-12,ASIA,2302068.0,38973.0,,342689022.0
2022-01,ASIA,14281905.0,35004.0,,306253149.0
2022-02,ASIA,11863110.0,50383.0,,197551381.0
2022-03,ASIA,10246465.0,34361.0,,147036429.0
2022-04,ASIA,2696301.0,11900.0,,72016608.0
2022-05,ASIA,723073.0,3732.0,,60298765.0
2022-06,ASIA,1120348.0,1985.0,,76108197.0
2022-07,ASIA,3335122.0,4990.0,,79232183.0
2022-08,ASIA,2660352.0,8447.0,,82564041.0
2022-09,ASIA,861092.0,4591.0,,66307091.0
2022-10,ASIA,698360.0,3147.0,,12395749.0
2022-11,ASIA,554592.0,4307.0,,7511749.0
2022-12,ASIA,291779.0,2681.0,,5936702.0
2023-01,ASIA,114790.0,1397.0,,12727255.0
2023-02,ASIA,80684.0,891.0,,2638726.0
2023-03,ASIA,170939.0,1298.0,,744144.0
2023-04,ASIA,499675.0,2147.0,,295658.0
2023-05,ASIA,385874.0,1461.0,,527292.0
2023-06,ASIA,119290.0,666.0,,1195092.0
2023-07,ASIA,60035.0,498.0,,721928.0
2023-08,ASIA,47293.0,301.0,,171791.0
2023-09,ASIA,55751.0,287.0,,48827.0
2023-10,ASIA,69110.0,1545.0,,7359.0
2023-11,ASIA,0.0,0.0,,566.0
