date,loc,total_cases,total_deaths,people_vaccinated,total_vaccinations
2020-01,AUS,9.0,0.0,,0.0
2020-02,AUS,17.0,0.0,,0.0
2020-03,AUS,5050.0,23.0,,0.0
2020-04,AUS,3056.0,98.0,,0.0
2020-05,AUS,500.0,15.0,,0.0
2020-06,AUS,702.0,1.0,,0.0
2020-07,AUS,8743.0,133.0,,0.0
2020-08,AUS,11412.0,504.0,,0.0
2020-09,AUS,3888.0,214.0,,0.0
2020-10,AUS,8400.0,70.0,,0.0
2020-11,AUS,9459.0,82.0,,0.0
2020-12,AUS,3948.0,53.0,,0.0
2021-01,AUS,2144.0,28.0,,0.0
2021-02,AUS,1188.0,12.0,,41753.0
2021-03,AUS,6045.0,7.0,,777140.0
2021-04,AUS,6098.0,109.0,,1721147.0
2021-05,AUS,5721.0,70.0,,2504076.0
2021-06,AUS,6383.0,30.0,,3903631.0
2021-07,AUS,30229.0,264.0,,5340621.0
2021-08,AUS,62024.0,639.0,,8920260.0
2021-09,AUS,70994.0,869.0,,10084586.0
2021-10,AUS,88222.0,875.0,,9213661.0
2021-11,AUS,51404.0,561.0,,4388562.0
2021-12,AUS,163272.0,341.0,,3755924.0
2022-01,AUS,1994163.0,2269.0,,8373649.0
2022-02,AUS,882688.0,1770.0,,5367998.0
2022-03,AUS,1740940.0,1016.0,,2628561.0
2022-04,AUS,1639149.0,1608.0,,1297102.0
2022-05,AUS,1730560.0,1917.0,,1667746.0
2022-06,AUS,967371.0,1788.0,,1121388.0
2022-07,AUS,1425766.0,2841.0,,2313825.0
2022-08,AUS,933992.0,2054.0,,760045.0
2022-09,AUS,242098.0,729.0,,82889.0
2022-10,AUS,267892.0,526.0,,65908.0
2022-11,AUS,380420.0,661.0,,63826.0
2022-12,AUS,565082.0,1292.0,,51781.0
2023-01,AUS,267103.0,1421.0,,20762.0
2023-02,AUS,102645.0,664.0,,8772.0
2023-03,AUS,155462.0,431.0,,13718.0
2023-04,AUS,160225.0,968.0,,52833.0
2023-05,AUS,235946.0,983.0,,0.0
2023-06,AUS,114034.0,1263.0,,0.0
2023-07,AUS,62760.0,198.0,,0.0
2023-08,AUS,35894.0,371.0,,0.0
2023-09,AUS,31436.0,212.0,,0.0
2023-10,AUS,37923.0,203.0,,0.0
2023-11,AUS,0.0,0.0,,0.0
