date,loc,total_cases,total_deaths,people_vaccinated,total_vaccinations
2020-01,HKO,0.0,0.0,,0.0
2020-02,HKO,0.0,0.0,,0.0
2020-03,HKO,0.0,0.0,,0.0
2020-04,HKO,0.0,0.0,,0.0
2020-05,HKO,0.0,0.0,,0.0
2020-06,HKO,0.0,0.0,,0.0
2020-07,HKO,0.0,0.0,,0.0
2020-08,HKO,0.0,0.0,,0.0
2020-09,HKO,0.0,0.0,,0.0
2020-10,HKO,0.0,0.0,,0.0
2020-11,HKO,0.0,0.0,,0.0
2020-12,HKO,0.0,0.0,,0.0
2021-01,HKO,0.0,0.0,,0.0
2021-02,HKO,0.0,0.0,,14587.0
2021-03,HKO,0.0,0.0,,484400.0
2021-04,HKO,0.0,0.0,,908696.0
2021-05,HKO,0.0,0.0,,986708.0
2021-06,HKO,0.0,0.0,,1328883.0
2021-07,HKO,0.0,0.0,,1933797.0
2021-08,HKO,0.0,0.0,,1925335.0
2021-09,HKO,0.0,0.0,,1088502.0
2021-10,HKO,0.0,0.0,,355187.0
2021-11,HKO,0.0,0.0,,413870.0
2021-12,HKO,0.0,0.0,,467848.0
2022-01,HKO,0.0,0.0,,1200134.0
2022-02,HKO,0.0,0.0,,1988710.0
2022-03,HKO,0.0,0.0,,2013691.0
2022-04,HKO,0.0,0.0,,914097.0
2022-05,HKO,0.0,0.0,,1040112.0
2022-06,HKO,0.0,0.0,,630826.0
2022-07,HKO,0.0,0.0,,364393.0
2022-08,HKO,0.0,0.0,,582058.0
2022-09,HKO,0.0,0.0,,790566.0
2022-10,HKO,0.0,0.0,,368655.0
2022-11,HKO,0.0,0.0,,163592.0
2022-12,HKO,0.0,0.0,,356079.0
2023-01,HKO,0.0,0.0,,284753.0
2023-02,HKO,0.0,0.0,,73904.0
2023-03,HKO,0.0,0.0,,40200.0
2023-04,HKO,0.0,0.0,,40018.0
2023-05,HKO,0.0,0.0,,26731.0
2023-06,HKO,0.0,0.0,,12485.0
2023-07,HKO,0.0,0.0,,7514.0
2023-08,HKO,0.0,0.0,,5428.0
